"","score","text"
"1",1,"rt biologistdan new study says air gun blasting  oil exploration negatively affects whales 3km away trump wants  eliminate airgun…"
"2",-2,"rt fakenewscnn   day cnn amp  dangerous propaganda ch cant say radical islamic terrorismbut wants trump  say white nation…"
"3",1,"realdonaldtrump  resist resisthate trump maga fightsupremacy"
"4",-1,"trumps rift  flake  gop senators expected  take stage      uspolitics trump potus"
"5",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"6",0,"rt shakriet das trumpbashing ist einfach nur eine langweilige kampagne bei der sich alle linken zeitschriften ihre titelblätter gegens…"
"7",3,"realbenbailey love  show man best  luck wthe new seasonamp ohif  happen  pickup trumpnothing … "
"8",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"9",3,"rt aonbhar trump supporters outside  comfort zone  bostonfreespeechrally  love  maga theresistance "
"10",1,"rt habshappy realdonaldtrump sure  can change history watch  
trump stevebannon whitehouse bannon b…"
"11",1,"rt elizabethwila retweet   stand  trump side
maga "
"12",1,"millennials   cheering trump    "
"13",-1,"realdonaldtrump theyre marching     fucking moron resign trump"
"14",-1," look  stupid  support  small numbers  kkk   peaceful opposition   hate  type  oppos… "
"15",0,"impeach donaldtrump trump antitrump notmypresident "
"16",-1,"rt filiz175 trumpin danismani pkk sever brett mecgurk rakkada Iside feci sekilde tavir alirken görülüyor
bunlarin hepsi pisligin te…"
"17",1,"ohne worte trump boston "
"18",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"19",0,"another pic   racist nazi trump supporters realdonaldtrump potus "
"20",1,"codepink  can lose trump  pence  well"
"21",-1,"trump   loser  will go   history   worst resist "
"22",0,"lol  dems want  remove trump  allegations  dementia  "
"23",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"24",-1,"considering trump base dont believe  degreesthat wont faze himthem except inflame  lynch mob mentality "
"25",0," young men fought  lift  flag  thst  young basement dwellers cound burn  trump maga  894"
"26",1,"trump perde un pezzo del quale onestamente non sapeva proprio che farsene "
"27",1,"rt alantonelson looking forward   first sitdown interview  bannon trump "
"28",-1,"pediatricians say florida hurt sick kids  help big gop donors  cnn  trumpcare trump maga"
"29",1," realdonaldtrump trump news soundcloud np music video art bbnaija syria god science usa"
"30",1," realdonaldtrump trump news soundcloud np music video art bbnaija syria god science usa"
"31",1,"politicians  still support trump shouldn’t bother  conned racismon medium    site "
"32",3,"rt trailortrash   american flag isnt welcome   rally well bostoncommon bostonfreespeechrally trump"
"33",2,"rt donnawr8     editor  chief  breitbart news today interesting

im ready  will fight  usa

trump trump m…"
"34",1,"rt unpersuaded112 people really dont like   go   trouble donald  realdonaldtrump  trump russiagate trumprussia …"
"35",4,"gr8 leaders attract  gr8 leaders people want 2 work wothers   effective amp  want 2 work together  long  possible trump"
"36",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"37",0,"rt donnawr8 <U+2620><U+FE0F>kkk founder   dnc delegate

put    pipe  smoke it<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E64> 

trump maga charlottesville 
…"
"38",0,"housedemocrats realdonaldtrump potus   grandfathers fought  ww2 im offended    use  t… "
"39",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"40",3,"rt bfraser747  1999 jessejackson praised trump   lifetime  helping africanamerican communities     donald trump ha…"
"41",1,"trump green lights arctic drilling  via nationofchange oil renewableenergy trumpresign dangerousidiot"
"42",2,"mick1863 lol well possibly trump   rate"
"43",-1,"rt ingolfkaiser sz matikolb proteste gegen trump verstehe ich aber warum protestiert die linke szene eigentlich nicht auch vehement g…"
"44",0,"   peaceful protest try telling     man    instigator resist cnn trump "
"45",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"46",1,"rt unpersuaded112  name  dixie im  11year old bug chasing sweetheart  needs  home please rt  far  wide  trump …"
"47",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
